AgentID,front_orientation_unwrapped_at_Lturn_start
Larva_1,770.036379928147
Larva_1,836.5275946150285
Larva_1,277.4754754686339
Larva_1,538.3083876764576
Larva_1,546.7302948582984
Larva_1,278.2983556575284
Larva_1,549.1083777847083
Larva_1,547.5234418446244
Larva_1,276.4002979870528
Larva_1,762.4015915930712
Larva_1,281.4025653445393
Larva_1,549.643180325277
Larva_1,270.7265475793646
Larva_1,541.7664196412541
Larva_1,256.5070824001385
Larva_1,362.34467535974176
Larva_1,541.7706583243203
Larva_1,542.1421125553201
Larva_1,762.7778223507335
Larva_1,553.7054391226479
Larva_1,255.4337475284708
Larva_1,545.2367148042847
Larva_1,850.1709305924181
Larva_1,541.6753663546249
Larva_1,294.75270254681277
Larva_1,837.8915857832169
Larva_1,769.5960201038881
Larva_1,198.57883080559114
Larva_1,191.81184139557496
Larva_1,190.0576265523619
Larva_1,189.14008331444126
Larva_1,182.52541583743485
Larva_1,771.7774959032935
Larva_1,838.8307869431403
Larva_1,753.2512468689456
Larva_1,185.09624105773943
Larva_1,147.26226218102346
Larva_1,767.5207572343243
Larva_1,260.10775598880906
Larva_1,837.4201464343599
Larva_1,526.008031781728
Larva_1,541.7013028215862
Larva_1,756.3915103452067
Larva_1,543.4547356578425
Larva_1,542.2723091582518
Larva_1,768.3334180244744
Larva_1,563.3354243461464
Larva_1,266.7211143231578
Larva_1,258.16362812458505
Larva_1,237.565478124403
Larva_1,587.5349824769867
Larva_1,238.7405706586019
Larva_1,593.0151442738288
Larva_1,598.9330185487036
Larva_1,604.855856823017
Larva_1,605.0373604767411
Larva_1,255.45849160694954
Larva_1,610.0412318116411
Larva_1,591.0221442564555
Larva_1,610.1734344860716
Larva_1,249.19318840530735
Larva_1,620.7910218805818
Larva_1,248.36951134786082
Larva_1,626.237256580083
Larva_1,901.612237866096
Larva_1,244.69240034350375
Larva_1,637.7976955772106
Larva_1,239.05168700467325
Larva_1,632.7037760046828
Larva_1,725.5020981127923
Larva_1,233.09468567237087
Larva_1,585.8184195425486
Larva_1,242.1780980563544
Larva_1,945.1001153563159
Larva_1,568.6421716670905
Larva_1,764.9389692795686
Larva_1,570.8958032147749
Larva_1,247.79434482843422
Larva_1,908.0683480272313
Larva_1,750.5112983846986
Larva_1,571.1806317801106
Larva_1,248.60884611576412
Larva_1,583.6952160059799
Larva_1,246.85428845736794
Larva_1,588.1300373410186
Larva_1,600.68320316582
Larva_1,752.2254897569109
Larva_1,253.42797022066716
Larva_1,595.7455680782634
Larva_1,247.82075558281124
Larva_1,242.23016842979996
Larva_1,596.0264601091772
Larva_1,906.1500760791863
Larva_1,718.8166299019908
Larva_1,479.35820975119105
Larva_1,220.42220210300624
Larva_1,231.5732512215874
Larva_1,469.9629785605651
Larva_1,435.24383998959155
Larva_1,354.2507945505361
Larva_1,438.4384136349562
Larva_1,786.4012930561571
Larva_1,432.19953340312685
Larva_1,436.8122540270536
Larva_1,351.8038223248103
Larva_1,433.4492822176801
Larva_1,329.1540948345875
Larva_1,357.6503556822883
Larva_1,438.0152778501224
Larva_1,451.0870800941614
Larva_1,338.32689472378786
Larva_1,835.4647436277708
Larva_1,438.97473763194745
Larva_1,340.16174275126775
Larva_1,443.8190679315662
Larva_1,321.5490433015957
Larva_1,766.0476811773198
Larva_1,788.2373459746689
Larva_1,340.8231059271147
Larva_1,431.5246274676331
Larva_1,774.281144602741
Larva_1,410.268607946638
Larva_1,751.745907181996
Larva_1,379.2385971280684
Larva_1,387.41418949511973
Larva_1,366.42178936812576
Larva_1,383.55278043384993
Larva_1,740.9111018657164
Larva_1,398.5582185460047
Larva_1,365.0086396750055
Larva_1,360.16295017846744
Larva_1,755.4394728450808
Larva_1,412.4630815505112
Larva_1,412.9658726119634
Larva_1,352.36927677303066
Larva_1,412.4670002888762
Larva_1,413.5111565661464
Larva_1,356.12917070286244
Larva_1,414.7334641345657
Larva_1,773.8944727344721
Larva_1,722.477937743498
Larva_1,352.7373873130477
Larva_1,356.44922479582914
Larva_1,440.58402641980354
Larva_1,229.3821069918756
Larva_1,442.9547416327294
Larva_1,322.3871781555215
Larva_1,775.1892578690524
Larva_1,450.93012029741396
Larva_1,236.49699897659525
Larva_1,451.16757217213797
Larva_1,238.64645738521634
Larva_1,456.89510302540015
Larva_1,457.9541954932886
Larva_1,237.39110484925493
Larva_1,464.1507342440315
Larva_1,280.174714216432
Larva_1,794.9402940554239
Larva_1,238.4668810207397
Larva_1,235.54006300084365
Larva_1,754.8283009851149
Larva_1,467.1800777006116
Larva_1,238.19077692569047
Larva_1,466.68648698006064
Larva_1,229.2672005526397
Larva_1,800.9739894682803
Larva_1,942.2805686013287
Larva_1,471.7299353876041
Larva_1,275.3104310296602
Larva_1,443.4438053575066
Larva_1,292.311744234061
Larva_1,769.1595684969537
Larva_1,447.66203869492614
Larva_1,321.33049915509247
Larva_1,450.5734740334494
Larva_1,461.129759910829
Larva_1,455.10240050375165
Larva_1,324.11989119871373
Larva_1,323.4468436163339
Larva_1,319.81639649201696
Larva_1,444.3315874764977
Larva_1,769.349916907402
Larva_1,775.9113562972458
Larva_1,319.04123074725277
Larva_1,308.5231586281583
Larva_1,437.849914463482
Larva_1,446.1314710427738
Larva_1,312.39364746602996
Larva_1,772.0332666893299
Larva_1,447.09913089111484
Larva_1,297.7543084667727
Larva_1,443.1162229297392
Larva_1,331.9773980443341
Larva_1,908.5436455211767
Larva_1,369.9213048203076
Larva_1,157.31536075918345
Larva_1,905.1143856163962
Larva_1,679.7766919217262
Larva_1,718.1451876656566
Larva_1,680.464065947379
Larva_1,734.7455813554926
Larva_1,679.1788242862991
Larva_1,201.55981867579595
Larva_1,129.35912723864732
Larva_1,935.3524033970125
Larva_1,201.08139452727087
Larva_1,730.7335461956735
Larva_1,727.7017152201048
Larva_1,679.1022263883726
Larva_1,906.5511592919127
Larva_1,748.1803775082026
Larva_1,713.0802399039603
Larva_1,912.9234703467384
Larva_1,142.7520779250192
Larva_1,655.7986217710001
Larva_1,717.20802681712
Larva_1,191.28967020825996
Larva_1,653.3502652221296
Larva_1,213.51549361970865
Larva_1,643.5459866339463
Larva_1,718.4703481747187
Larva_1,907.4182237753187
Larva_1,923.5283987122419
Larva_1,195.66064937271173
Larva_1,135.80968072151782
Larva_1,679.3499984839854
Larva_1,750.2907624829661
Larva_1,680.26647292073
