AgentID,Rturn_front_orientation_unwrapped
Larva_1,-0.045302912614261004
Larva_1,-0.05340205496941053
Larva_1,-6.3777912606252585
Larva_1,-4.026996106121942
Larva_1,-5.2344049181645005
Larva_1,-12.358929335762014
Larva_1,-2.528788191666308
Larva_1,-3.5188275609345965
Larva_1,-4.527858095983902
Larva_1,-6.590204821846555
Larva_1,-9.786999687484808
Larva_1,-0.6160841741265131
Larva_1,-0.49696289176426944
Larva_1,-4.8083864700209915
Larva_1,-0.6532506048972948
Larva_1,-1.8202344115749156
Larva_1,-0.45188865572959
Larva_1,-1.1382404834757267
Larva_1,-0.3043949074739203
Larva_1,-14.38059564314392
Larva_1,-0.2777015626001287
Larva_1,-3.283193053904256
Larva_1,-2.4603129459071624
Larva_1,-4.0827826839944805
Larva_1,-3.494906786006993
Larva_1,-0.7937298646820068
Larva_1,-1.7313525265423664
Larva_1,-10.645338306438617
Larva_1,-3.240103569505237
Larva_1,-0.7552319131387719
Larva_1,-10.251927162798921
Larva_1,-1.1292093428075418
Larva_1,-3.9820362220758625
Larva_1,-6.94495650813991
Larva_1,-0.16714742011319572
Larva_1,-1.0231222070943886
Larva_1,-6.565861680157241
Larva_1,-9.84556466072678
Larva_1,-14.84395298886568
Larva_1,-0.5332460837680628
Larva_1,-2.0187867101867027
Larva_1,-4.589446918398664
Larva_1,-10.114130168628321
Larva_1,-4.175569877308874
Larva_1,-13.959229289457767
Larva_1,-1.4638304595975171
Larva_1,-12.515663763722841
Larva_1,-12.077293973059284
Larva_1,-4.678003758800628
Larva_1,-1.0108154410811494
Larva_1,-4.312398001088127
Larva_1,-3.531169377083046
Larva_1,-27.269567511360833
Larva_1,-3.5516617074760575
Larva_1,-4.604934772528509
Larva_1,-4.515717247205487
Larva_1,-2.9233499992407133
Larva_1,-0.29224300862756536
Larva_1,-9.056704732100002
Larva_1,-1.7594666234286365
Larva_1,-10.462678367993021
Larva_1,-5.749191389241332
Larva_1,-1.432450976543464
Larva_1,-14.310139344009968
Larva_1,-12.446876852560308
Larva_1,-8.524799148144666
Larva_1,-5.759041357986007
Larva_1,-1.256269103655086
Larva_1,-3.148953431115018
Larva_1,-2.136583963546059
Larva_1,-14.787404823752865
Larva_1,-4.847397359379784
Larva_1,-5.9566482298356505
Larva_1,-1.8574370135423806
Larva_1,-0.6701510258002656
Larva_1,-0.2719100512939576
Larva_1,-2.6749736441855703
Larva_1,-4.535344907353533
Larva_1,-0.6673508489540154
Larva_1,-11.556047949717822
Larva_1,-2.7418815338819513
Larva_1,-1.382062437962702
Larva_1,-1.5369124375804688
Larva_1,-10.203892318839735
Larva_1,-3.3170431767588866
Larva_1,-6.522929444054057
Larva_1,-1.5092591050006376
Larva_1,-1.4231937503437848
Larva_1,-7.431470431979051
Larva_1,-2.0941676830660754
Larva_1,-1.8588084487541892
Larva_1,-9.144991847870756
Larva_1,-7.946019929698707
Larva_1,-1.5599023905768945
Larva_1,-17.969262677304073
Larva_1,-5.631517423382661
Larva_1,-2.3012830231546104
Larva_1,-1.222414526087391
Larva_1,-9.499465182256472
Larva_1,-6.658632234161473
Larva_1,-4.772943582333454
Larva_1,-1.9131398285872478
Larva_1,-4.127322501036929
Larva_1,-5.313488405307567
Larva_1,-0.3274827105601048
Larva_1,-0.8809907690349519
Larva_1,-3.894550382418288
Larva_1,-4.633933667261658
Larva_1,-6.101421479853059
Larva_1,-2.3881720513775235
Larva_1,-5.343353234915696
Larva_1,-14.045626550832026
Larva_1,-0.4509949257687822
Larva_1,-24.862964753453753
Larva_1,-5.696652921560258
Larva_1,-3.435889545285079
Larva_1,-1.7912513252227882
Larva_1,-2.6297455055828323
Larva_1,-1.3952791915772877
Larva_1,-0.4677034737518966
Larva_1,-4.464433106940817
Larva_1,-8.98432241602427
Larva_1,-7.365590292913737
Larva_1,-4.202965946378072
Larva_1,-12.683347235478323
Larva_1,-3.614709970291301
Larva_1,-2.380744260283791
Larva_1,-2.82026398729829
Larva_1,-1.4424358807532371
Larva_1,-8.779459113430221
Larva_1,-4.459298954574649
Larva_1,-3.6933015442676833
Larva_1,-5.858014303906998
Larva_1,-3.206068065415309
Larva_1,-3.5224199954851656
Larva_1,-184.35612536213083
