AgentID,stridechain_dur
Larva_117,6.5
Larva_117,2.5
Larva_117,1.4375
Larva_117,1.75
Larva_117,7.4375
Larva_117,32.5625
Larva_117,1.25
Larva_117,17.0625
Larva_117,7.75
Larva_117,4.8125
Larva_117,2.3125
Larva_117,0.875
Larva_117,3.5625
Larva_117,12.125
Larva_117,0.6875
Larva_117,1.125
Larva_117,1.0
Larva_117,4.9375
Larva_117,0.75
Larva_117,13.5
Larva_117,8.6875
Larva_117,22.4375
Larva_118,6.0625
Larva_118,25.0
Larva_118,3.25
Larva_118,0.625
Larva_118,3.5625
Larva_118,32.3125
Larva_118,25.5625
Larva_118,8.125
Larva_118,10.375
Larva_118,8.0625
Larva_118,3.1875
Larva_118,6.4375
Larva_118,3.4375
Larva_118,22.4375
Larva_118,5.875
Larva_119,1.0625
Larva_119,1.0
Larva_119,4.375
Larva_119,1.3125
Larva_119,0.8125
Larva_119,3.625
Larva_119,21.875
Larva_119,6.75
Larva_119,5.125
Larva_119,2.0
Larva_119,7.6875
Larva_119,2.8125
Larva_119,2.3125
Larva_119,1.3125
Larva_119,15.125
Larva_119,0.8125
Larva_119,17.0
Larva_119,1.3125
Larva_119,6.6875
Larva_119,1.125
Larva_119,37.375
Larva_119,11.9375
Larva_120,12.625
Larva_120,12.8125
Larva_120,29.3125
Larva_120,3.1875
Larva_120,2.375
Larva_120,21.75
Larva_120,1.75
Larva_120,18.3125
Larva_120,0.6875
Larva_120,3.25
Larva_120,11.0
Larva_120,0.6875
Larva_120,1.125
Larva_120,13.6875
Larva_120,26.625
Larva_121,2.875
Larva_121,7.3125
Larva_121,9.125
Larva_121,2.5
Larva_121,1.9375
Larva_121,1.5
Larva_121,39.3125
Larva_121,1.5
Larva_121,1.3125
Larva_121,1.4375
Larva_121,0.9375
Larva_121,0.9375
Larva_121,0.875
Larva_121,4.25
Larva_121,0.4375
Larva_121,0.75
Larva_121,4.6875
Larva_121,2.5
Larva_121,1.9375
Larva_121,1.8125
Larva_121,2.3125
Larva_121,3.25
Larva_121,0.6875
Larva_121,3.125
Larva_121,1.375
Larva_121,0.8125
Larva_121,4.1875
Larva_121,0.625
Larva_121,0.6875
Larva_121,4.8125
Larva_121,0.6875
Larva_121,1.5
Larva_121,1.5
Larva_121,5.375
Larva_122,4.125
Larva_122,19.8125
Larva_122,3.0625
Larva_122,32.625
Larva_122,14.9375
Larva_122,12.0
Larva_122,1.5625
Larva_122,19.0625
Larva_122,16.625
Larva_122,16.875
Larva_122,3.6875
Larva_122,13.6875
Larva_125,5.125
Larva_125,17.9375
Larva_125,21.1875
Larva_125,13.5
Larva_125,3.375
Larva_125,5.375
Larva_125,0.6875
Larva_125,1.125
Larva_125,66.1875
Larva_125,22.3125
Larva_125,6.875
Larva_127,2.0625
Larva_127,1.3125
Larva_127,4.5625
Larva_127,5.5625
Larva_127,2.375
Larva_127,1.8125
Larva_127,1.375
Larva_127,2.875
Larva_127,1.125
Larva_127,0.6875
Larva_127,1.8125
Larva_127,3.125
Larva_127,2.75
Larva_127,2.25
Larva_127,10.9375
Larva_127,3.8125
Larva_127,3.0
Larva_127,3.1875
Larva_127,4.375
Larva_127,3.8125
Larva_127,1.375
Larva_127,1.375
Larva_127,8.75
Larva_127,0.75
Larva_127,2.875
Larva_127,1.625
Larva_127,1.75
Larva_127,0.625
Larva_127,2.0625
Larva_127,11.0625
Larva_127,2.0
Larva_127,1.5
Larva_127,1.0
Larva_127,3.6875
Larva_127,10.3125
Larva_127,1.25
Larva_127,2.0
Larva_127,4.9375
Larva_128,10.5625
Larva_128,1.8125
Larva_128,4.5625
Larva_128,0.6875
Larva_128,37.75
Larva_128,2.5
Larva_128,1.1875
Larva_128,3.3125
Larva_128,2.25
Larva_128,2.5625
Larva_128,0.5625
Larva_128,1.8125
Larva_128,1.375
Larva_128,1.5
Larva_128,5.5625
Larva_128,4.375
Larva_128,9.0
Larva_128,3.9375
Larva_128,4.3125
Larva_128,1.5625
Larva_128,1.125
Larva_128,1.0
Larva_128,6.4375
Larva_128,1.5
Larva_128,2.9375
Larva_128,1.625
Larva_128,2.875
Larva_128,0.875
Larva_129,1.3125
Larva_129,4.5
Larva_129,2.0625
Larva_129,0.5625
Larva_129,3.75
Larva_129,9.875
Larva_129,10.0
Larva_129,1.8125
Larva_129,2.875
Larva_129,2.75
Larva_129,5.5
Larva_129,3.1875
Larva_129,2.5625
Larva_129,8.8125
Larva_129,5.625
Larva_129,1.6875
Larva_129,2.875
Larva_129,0.6875
Larva_129,5.25
Larva_129,3.3125
Larva_129,4.375
Larva_129,0.75
Larva_129,5.125
Larva_129,2.0
Larva_129,0.5
Larva_129,3.5
Larva_129,1.375
Larva_129,0.6875
Larva_129,0.8125
Larva_129,1.9375
Larva_129,8.8125
Larva_129,4.9375
Larva_129,0.6875
Larva_129,1.5625
Larva_129,2.4375
Larva_129,6.6875
Larva_129,1.8125
Larva_129,1.3125
Larva_13,34.5
Larva_13,3.4375
Larva_13,5.25
Larva_13,25.125
Larva_13,2.625
Larva_13,34.6875
Larva_13,12.6875
Larva_13,6.625
Larva_13,8.3125
Larva_13,0.5
Larva_13,1.25
Larva_13,3.5625
Larva_13,1.0
Larva_13,12.625
Larva_130,0.4375
Larva_130,1.75
Larva_130,1.3125
Larva_130,5.375
Larva_130,4.9375
Larva_130,0.625
Larva_130,4.0
Larva_130,1.5625
Larva_130,3.875
Larva_130,2.8125
Larva_130,1.875
Larva_130,3.6875
Larva_130,42.3125
Larva_130,2.8125
Larva_130,1.875
Larva_130,1.9375
Larva_130,0.8125
Larva_130,4.0
Larva_130,11.3125
Larva_130,0.5625
Larva_130,3.4375
Larva_130,2.6875
Larva_130,1.0
Larva_130,5.0625
Larva_130,1.0625
Larva_130,1.25
Larva_130,4.625
Larva_130,16.1875
Larva_130,17.4375
Larva_132,3.375
Larva_132,1.5625
Larva_132,5.8125
Larva_132,1.375
Larva_132,7.125
Larva_132,8.8125
Larva_132,5.375
Larva_132,7.625
Larva_132,13.875
Larva_132,0.75
Larva_132,5.875
Larva_132,2.25
Larva_132,1.5625
Larva_132,3.625
Larva_132,2.0625
Larva_132,6.125
Larva_132,2.0
Larva_132,2.875
Larva_132,3.25
Larva_132,13.875
Larva_132,1.25
Larva_132,6.5
Larva_132,0.75
Larva_132,23.9375
Larva_132,4.1875
Larva_132,1.5
Larva_133,3.25
Larva_133,0.375
Larva_133,32.5625
Larva_133,8.4375
Larva_133,4.125
Larva_133,3.1875
Larva_133,8.5625
Larva_133,2.0625
Larva_133,2.75
Larva_133,0.4375
Larva_133,0.375
Larva_133,1.8125
Larva_133,0.5625
Larva_133,1.0
Larva_133,11.625
Larva_133,0.75
Larva_133,2.0625
Larva_133,10.9375
Larva_133,5.625
Larva_133,0.4375
Larva_133,1.5
Larva_133,3.625
Larva_133,30.6875
Larva_134,1.3125
Larva_134,1.25
Larva_134,0.6875
Larva_134,3.5625
Larva_134,7.625
Larva_134,6.0625
Larva_134,1.5625
Larva_134,1.25
Larva_134,3.3125
Larva_134,1.875
Larva_134,3.375
Larva_134,1.9375
Larva_134,1.625
Larva_134,0.8125
Larva_134,4.5
Larva_134,4.625
Larva_134,1.75
Larva_134,2.8125
Larva_134,0.8125
Larva_134,3.75
Larva_134,5.5
Larva_134,0.5
Larva_134,8.375
Larva_134,12.125
Larva_134,10.9375
Larva_134,0.8125
Larva_134,1.9375
Larva_134,0.625
Larva_134,1.375
Larva_134,1.75
Larva_134,1.25
Larva_134,1.75
Larva_134,1.125
Larva_134,5.4375
Larva_134,6.9375
Larva_134,0.4375
Larva_134,7.9375
Larva_134,3.1875
Larva_134,1.875
Larva_135,0.875
Larva_135,0.4375
Larva_135,12.5
Larva_135,0.5625
Larva_135,0.8125
Larva_135,0.6875
Larva_135,1.3125
Larva_135,3.9375
Larva_135,0.5
Larva_135,3.25
Larva_135,16.5
Larva_135,3.4375
Larva_135,20.6875
Larva_135,12.1875
Larva_135,2.25
Larva_135,4.125
Larva_135,1.5625
Larva_135,3.125
Larva_135,17.0
Larva_135,5.3125
Larva_135,16.5
Larva_138,0.625
Larva_138,1.6875
Larva_138,0.6875
Larva_138,0.6875
Larva_138,0.625
Larva_138,0.625
Larva_138,3.375
Larva_138,1.125
