AgentID,front_orientation_unwrapped_at_stride_stop
Larva_1,450.17655841813945
Larva_1,809.9069212330891
Larva_1,543.6920015202081
Larva_1,182.7236197642789
Larva_1,600.7097023252433
Larva_1,769.5587234881491
Larva_1,439.86894350178227
Larva_1,439.4142139997265
Larva_1,758.1698629913599
Larva_1,597.1583136175396
Larva_1,205.576670006415
Larva_1,686.1383344135298
Larva_1,740.7421991295231
Larva_1,447.76922491887603
Larva_1,769.7392270115729
Larva_1,442.6130646618631
Larva_1,754.613906552502
Larva_1,189.439631636473
Larva_1,837.1634162315352
Larva_1,218.54817473607835
Larva_1,776.2271784777358
Larva_1,724.0279684945872
Larva_1,435.24383998959155
Larva_1,203.31884397166874
Larva_1,202.70131144535225
Larva_1,684.1773944760942
Larva_1,788.2373459746689
Larva_1,541.7664196412541
Larva_1,443.6004183291312
Larva_1,190.90855402498153
Larva_1,833.8124450293202
Larva_1,727.8240532768981
Larva_1,189.14008331444126
Larva_1,191.81184139557496
Larva_1,588.1300373410186
Larva_1,683.9233940516946
Larva_1,305.74826218175474
Larva_1,768.4125403516664
Larva_1,266.41150666952325
Larva_1,261.2876983080061
Larva_1,753.3486980265671
Larva_1,769.349916907402
Larva_1,461.0185549372323
Larva_1,659.1895553233674
Larva_1,265.71265340177916
Larva_1,597.976363068146
Larva_1,285.9699672384961
Larva_1,778.1385288606351
Larva_1,760.4271180957116
Larva_1,448.9649348674053
Larva_1,604.5246831567798
Larva_1,455.10240050375165
Larva_1,451.0870800941614
Larva_1,271.7394261944294
Larva_1,278.28021293040126
Larva_1,436.84995607792916
Larva_1,769.1712934717258
Larva_1,589.356398048645
Larva_1,292.78642329074006
Larva_1,282.1695447854256
Larva_1,752.3617640610393
Larva_1,593.6964417485841
Larva_1,774.8923664291635
Larva_1,548.3653918089494
Larva_1,439.1866454234685
Larva_1,283.89412448312163
Larva_1,744.7771415182425
Larva_1,786.7537145343714
Larva_1,439.80895741899377
Larva_1,276.8492283936293
Larva_1,756.3485009076941
Larva_1,227.8411074303671
Larva_1,432.14495804588296
Larva_1,345.86256795080965
Larva_1,345.7937633595836
Larva_1,325.41487671593484
Larva_1,367.3359820962249
Larva_1,755.2757471274899
Larva_1,364.2432758870045
Larva_1,722.1787287495868
Larva_1,370.8079679611744
Larva_1,566.8105820119758
Larva_1,764.9389692795686
Larva_1,383.45221073460397
Larva_1,732.7223673976686
Larva_1,324.68173189899505
Larva_1,390.7083089939296
Larva_1,321.33049915509247
Larva_1,763.644104405219
Larva_1,751.0976559409683
Larva_1,365.47340407879716
Larva_1,742.0878433175147
Larva_1,359.1429531086717
Larva_1,355.8842329676542
Larva_1,356.12917070286244
Larva_1,352.6192528138832
Larva_1,728.5209777631405
Larva_1,568.3442342639094
Larva_1,728.6612562892047
Larva_1,351.4719332378081
Larva_1,356.0527120702985
Larva_1,335.8824005806407
Larva_1,681.7100635264998
Larva_1,733.4785067612016
Larva_1,336.39478235894404
Larva_1,554.036233105508
Larva_1,679.4791786976272
Larva_1,324.4054307605497
Larva_1,764.7102673527772
Larva_1,738.2750931732397
Larva_1,545.3516528063731
Larva_1,237.36504317500436
Larva_1,678.3799896079366
Larva_1,418.520141995824
Larva_1,238.53690674681204
Larva_1,574.988490788523
Larva_1,238.4668810207397
Larva_1,235.04420620129775
Larva_1,583.094017393315
Larva_1,410.268607946638
Larva_1,238.9680957147506
Larva_1,790.8376852998628
