AgentID,bend_at_stride_start
Larva_1,-10.408192096510362
Larva_1,34.73289311516939
Larva_1,-13.106255385916029
Larva_1,-24.10675226374218
Larva_1,0.9895541337326108
Larva_1,11.87109034349669
Larva_1,-2.172116917794682
Larva_1,3.741377404258202
Larva_1,-65.34454833037216
Larva_1,9.963962285923458
Larva_1,38.33022222871301
Larva_1,-4.501898153475906
Larva_1,-34.51807123213638
Larva_1,0.715729496500586
Larva_1,-4.07225911258962
Larva_1,-1.4326689197550309
Larva_1,-34.73309485140072
Larva_1,-21.598668314716235
Larva_1,40.89395608481843
Larva_1,-7.674959390110871
Larva_1,2.6149132428943744
Larva_1,-38.144229364558385
Larva_1,5.868811217294535
Larva_1,-5.521315706427856
Larva_1,-14.360261761556785
Larva_1,19.620119886917962
Larva_1,-16.997760324489576
Larva_1,-22.341188854585823
Larva_1,4.868374445212254
Larva_1,-12.312115611610068
Larva_1,-5.462088889367664
Larva_1,4.980355058932645
Larva_1,-13.47061986067962
Larva_1,-16.29823802292441
Larva_1,-0.3564855598971235
Larva_1,-0.8658089166723926
Larva_1,8.956543568735128
Larva_1,4.108492654579891
Larva_1,-7.227715577453523
Larva_1,-3.522734023771136
Larva_1,11.700608648032215
Larva_1,-17.51611194735156
Larva_1,-1.8024897135292122
Larva_1,-4.895215116903955
Larva_1,-7.408024903795365
Larva_1,-12.863387487280988
Larva_1,4.849021868263662
Larva_1,-17.763237350548394
Larva_1,-1.9745881040164193
Larva_1,-7.776475076181441
Larva_1,-8.857534012459269
Larva_1,4.259756738823057
Larva_1,4.924944826604303
Larva_1,-3.276947038490732
Larva_1,1.7850296934205403
Larva_1,2.6005254088784113
Larva_1,-12.118179573025941
Larva_1,-0.012367409575915644
Larva_1,-0.28836403505920316
Larva_1,-1.6424167031943853
Larva_1,-8.368309390747072
Larva_1,-10.087461645129451
Larva_1,-0.338862709060578
Larva_1,-7.92811765375717
Larva_1,-11.874828829854067
Larva_1,4.820113969501335
Larva_1,2.663313150490069
Larva_1,-1.0686591012449753
Larva_1,-8.90504116832642
Larva_1,7.73921774195577
Larva_1,-12.137152104289129
Larva_1,4.14913116857349
Larva_1,-12.593631293962744
Larva_1,13.211264657612332
Larva_1,-0.9811214402074597
Larva_1,-0.9390497864321787
Larva_1,4.189718850081846
Larva_1,-22.779972319358222
Larva_1,4.027648274471147
Larva_1,-13.30443499200112
Larva_1,-0.9783307707841971
Larva_1,1.1250022931605486
Larva_1,10.044616654594336
Larva_1,-3.0488668205526324
Larva_1,-19.35370978267011
Larva_1,10.630513418652129
Larva_1,6.252093216832833
Larva_1,9.715500201522616
Larva_1,14.687063077322222
Larva_1,-14.114884118006671
Larva_1,-1.553942431248629
Larva_1,-19.136720305321234
Larva_1,8.755681674321409
Larva_1,8.36171012730398
