AgentID,front_orientation_unwrapped_at_Lturn_stop
Larva_1,779.545560151336
Larva_1,858.6877740121563
Larva_1,282.1162416909106
Larva_1,547.2630916060756
Larva_1,549.7564113328135
Larva_1,284.84862280548634
Larva_1,553.1555190340832
Larva_1,548.394393706627
Larva_1,276.63523740678335
Larva_1,766.1060181549004
Larva_1,296.1511006307931
Larva_1,552.5125019155253
Larva_1,278.57554268858
Larva_1,544.8188556821628
Larva_1,271.93191821643813
Larva_1,377.35620078224855
Larva_1,548.2426075170295
Larva_1,558.8430420862899
Larva_1,764.377424306766
Larva_1,564.9496375609483
Larva_1,266.5055604145581
Larva_1,547.0491146358922
Larva_1,921.3464033769637
Larva_1,544.1387674410124
Larva_1,305.74826218175474
Larva_1,844.4246871504446
Larva_1,801.1322918227473
Larva_1,218.90503732615173
Larva_1,202.70131144535225
Larva_1,197.68120676692703
Larva_1,194.3480192793008
Larva_1,192.501391883161
Larva_1,773.2769839153297
Larva_1,854.3030030727331
Larva_1,760.5966061087704
Larva_1,186.32349789357974
Larva_1,183.84357451050198
Larva_1,770.1710089478238
Larva_1,331.1668665668092
Larva_1,842.2825346214655
Larva_1,541.9016699084718
Larva_1,543.797776491772
Larva_1,765.3871380080268
Larva_1,553.2886215720404
Larva_1,551.3561221360185
Larva_1,773.2760479119177
Larva_1,575.4140718163667
Larva_1,290.0238417299527
Larva_1,267.3715598167989
Larva_1,237.88546107225565
Larva_1,595.0010677459189
Larva_1,241.8772532934071
Larva_1,599.4016475679744
Larva_1,603.6803950373403
Larva_1,605.2256802143669
Larva_1,612.1118978348787
Larva_1,256.4100157320182
Larva_1,614.298531479001
Larva_1,591.1392590121344
Larva_1,619.3534531411332
Larva_1,258.1620392410288
Larva_1,628.36614655962
Larva_1,248.9573515159466
Larva_1,639.3242914989573
Larva_1,913.8712144108426
Larva_1,252.51720658356834
Larva_1,648.8695235186743
Larva_1,245.42807836981245
Larva_1,638.8677107993137
Larva_1,733.4785067612016
Larva_1,247.60540741478886
Larva_1,590.7539585520262
Larva_1,242.72774139945167
Larva_1,956.7837262651867
Larva_1,579.5147690354248
Larva_1,765.8329508690393
Larva_1,575.4418796853804
Larva_1,261.26630190442415
Larva_1,908.545386076865
Larva_1,766.6738131760625
Larva_1,584.1583060830861
Larva_1,254.3513340602369
Larva_1,588.3706976707629
Larva_1,251.40137072343708
