Step,median,upper,lower
1,0.0,0.0,0.0
2,0.015704301075042025,0.023180618806770237,0.009827952571788628
3,0.030488178020862605,0.04538877888053251,0.018972087845530464
4,0.0439488556745044,0.0676884323346156,0.028256241239171424
5,0.05885804495148835,0.08871903182587208,0.039342126464968416
6,0.07718480441396075,0.10339361985722549,0.049980012885005
7,0.0951588698288819,0.11973831553763509,0.06238735271315016
8,0.11140705631180188,0.14204222611254008,0.07516288528398152
9,0.125454084856942,0.1585249647072628,0.08824523444899879
10,0.14187420669006529,0.1768236153390845,0.1041992410108846
11,0.15665974845244787,0.19831909156948613,0.12227705160693493
12,0.17078454864413492,0.21462994439887145,0.12835679744653983
13,0.19357388692655775,0.2349071130759629,0.14256066826631164
14,0.20503224736465456,0.2610604939092264,0.15331399568667292
15,0.2188807724284133,0.2829503089716079,0.1665326881925654
16,0.2387847995231182,0.2959029292200229,0.17963692051536637
17,0.2556601943954409,0.31224933210874994,0.19193109551989262
18,0.2704576776659228,0.3372944189036078,0.20421990183765398
19,0.28595767504937497,0.3580641670074806,0.21695274283782756
20,0.3000904740502365,0.37766376239216126,0.2235112314008258
21,0.31515012025979455,0.39850585911216757,0.22871884110420912
22,0.3209401384979381,0.4127421776493039,0.23748352181564553
23,0.33047724106537235,0.4368128141112497,0.24600485863574012
24,0.3458978418304342,0.45732787427956045,0.25660796457371093
25,0.36001314921036254,0.4750536999092113,0.2692799157448109
26,0.3779640466807665,0.5043878939172364,0.27771221083884295
27,0.39326244126845916,0.5196018909619018,0.2885011166211707
28,0.40805885683637966,0.5299615966076042,0.2968322092735405
29,0.42151308886894123,0.5548426418340761,0.3110539128902275
30,0.43209331720373734,0.5828817117132844,0.3190907317489471
31,0.44517747598716045,0.603842438880541,0.3346744826050774
32,0.4527800905772299,0.6097271913091966,0.3352593126709243
33,0.47469530280908184,0.6334002559436414,0.34719103549691555
34,0.49867643367207215,0.6548908779671709,0.35865928200016495
35,0.5154487624623214,0.6774173339703841,0.3688743732550505
36,0.5323667970404227,0.6944196329416881,0.3808538682048123
37,0.5459620922489695,0.7195258781458657,0.4039786474979438
38,0.5541465213762035,0.7418009423298273,0.41215645796532646
39,0.5811801001275643,0.7619682374500583,0.4222422289975841
40,0.5802592556520925,0.7742115639284896,0.4346538651940587
41,0.5884540711497761,0.7903726178925161,0.4268719603410141
42,0.6001668831268511,0.8004785739124637,0.43656667557922635
43,0.6075449300516659,0.8203493650578304,0.45308726885645245
44,0.6242791061737301,0.8330279858302715,0.4513971098022165
