shortcut,par,symbol,exp_symbol,unit,lim,collect
str_d_mu,stride_dst_mean,$\bar{{d}_{str}}$,$\bar{{\hat{d}}_{str}}$,distance $(mm)$,,stride_dst_mean_in_mm
str_d_std,stride_dst_std,$\~{{d}_{str}}$,$\~{{\hat{d}}_{str}}$,distance $(mm)$,,
str_sd_mu,scaled_stride_dst_mean,$\bar{{d}_{str}^{*}}$,$\bar{{\hat{d}}_{str}^{*}}$,scaled distance $(-)$,,
str_sd_std,scaled_stride_dst_std,$\~{{d}_{str}^{*}}$,$\~{{\hat{d}}_{str}^{*}}$,scaled distance $(-)$,,
str_std_mu,stride_straight_dst_mean,$\bar{{d}_{str}^{st}}$,$\bar{{\hat{d}}_{str}^{st}}$,distance $(mm)$,,
str_std_std,stride_straight_dst_std,$\~{{d}_{str}^{st}}$,$\~{{\hat{d}}_{str}^{st}}$,distance $(mm)$,,
str_sstd_mu,scaled_stride_straight_dst_mean,$\bar{{d}_{str}^{st*}}$,$\bar{{\hat{d}}_{str}^{st*}}$,scaled distance $(-)$,,
str_sstd_std,scaled_stride_straight_dst_std,$\~{{d}_{str}^{st*}}$,$\~{{\hat{d}}_{str}^{st*}}$,scaled distance $(-)$,,
disp,dispersion,disp,$\hat{disp}$,distance $(mm)$,,dispersion_in_mm
sdisp,scaled_dispersion,${disp}^{*}$,${\hat{disp}}^{*}$,scaled distance $(-)$,,scaled_dispersion
disp_mu,dispersion_mean,$\bar{disp}$,$\bar{\hat{disp}}$,distance $(mm)$,,
sdisp_mu,scaled_dispersion_mean,${\bar{disp}}^{*}$,${\bar{\hat{disp}}}^{*}$,scaled distance $(-)$,,
disp_max,dispersion_max,${disp}_{max}$,${\hat{disp}}_{max}$,distance $(mm)$,,dispersion_max_in_mm
sdisp_max,scaled_dispersion_max,${disp}_{max}^{*}$,${\hat{disp}}_{max}^{*}$,scaled distance $(-)$,,scaled_dispersion_max
disp_fin,final_dispersion,${disp}_{fin}$,${\hat{disp}}_{fin}$,distance $(mm)$,,dispersion_in_mm
sdisp_fin,scaled_final_dispersion,${disp}_{fin}^{*}$,${\hat{disp}}_{fin}^{*}$,scaled distance $(-)$,,
disp40,40sec_dispersion,${disp}^{40}$,${\hat{disp}}^{40}$,distance $(mm)$,,
sdisp40,scaled_40sec_dispersion,${{disp}^{40}}^{*}$,${{\hat{disp}}^{40}}^{*}$,scaled distance $(-)$,,
disp40_mu,40sec_dispersion_mean,$\bar{{disp}^{40}}$,$\bar{{\hat{disp}}^{40}}$,distance $(mm)$,,
sdisp40_mu,scaled_40sec_dispersion_mean,${\bar{{disp}^{40}}}^{*}$,${\bar{{\hat{disp}}^{40}}}^{*}$,scaled distance $(-)$,,
disp40_max,40sec_dispersion_max,${{disp}^{40}}_{max}$,${{\hat{disp}}^{40}}_{max}$,distance $(mm)$,,
sdisp40_max,scaled_40sec_dispersion_max,${{disp}^{40}}_{max}^{*}$,${{\hat{disp}}^{40}}_{max}^{*}$,scaled distance $(-)$,,
disp40_fin,final_40sec_dispersion,${{disp}^{40}}_{fin}$,${{\hat{disp}}^{40}}_{fin}$,distance $(mm)$,,
sdisp40_fin,scaled_final_40sec_dispersion,${{disp}^{40}}_{fin}^{*}$,${{\hat{disp}}^{40}}_{fin}^{*}$,scaled distance $(-)$,,
tor2_mu,tortuosity_2_mean,$\bar{{tor}^{2}}$,$\bar{{\hat{tor}}^{2}}$,-,,
tor2_std,tortuosity_2_std,$\~{{tor}^{2}}$,$\~{{\hat{tor}}^{2}}$,-,,
tor5_mu,tortuosity_5_mean,$\bar{{tor}^{5}}$,$\bar{{\hat{tor}}^{5}}$,-,,
tor5_std,tortuosity_5_std,$\~{{tor}^{5}}$,$\~{{\hat{tor}}^{5}}$,-,,
tor10_mu,tortuosity_10_mean,$\bar{{tor}^{10}}$,$\bar{{\hat{tor}}^{10}}$,-,,
tor10_std,tortuosity_10_std,$\~{{tor}^{10}}$,$\~{{\hat{tor}}^{10}}$,-,,
tor20_mu,tortuosity_20_mean,$\bar{{tor}^{20}}$,$\bar{{\hat{tor}}^{20}}$,-,,
tor20_std,tortuosity_20_std,$\~{{tor}^{20}}$,$\~{{\hat{tor}}^{20}}$,-,,
tor,tortuosity,tor,$\hat{tor}$,-,,
tur_fo,turn_front_orientation_unwrapped,$\theta_{turn}$,$\hat{\theta}_{turn}$,$\Delta\theta_{or}$ over turns $(deg)$,,
Ltur_fo,Lturn_front_orientation_unwrapped,$\theta_{Lturn}$,$\hat{\theta}_{Lturn}$,angle $(deg)$,,
Rtur_fo,Rturn_front_orientation_unwrapped,$\theta_{Rturn}$,$\hat{\theta}_{Rturn}$,angle $(deg)$,,
str_fo,stride_front_orientation_unwrapped,$\Delta{\theta}_{or_{f}}$,$\Delta{\hat{\theta}}_{or_{f}}$,$\Delta\theta_{or}$ over strides $(deg)$,,
str_ro,stride_rear_orientation_unwrapped,$\Delta{\theta}_{or_{r}}$,$\Delta{\hat{\theta}}_{or_{r}}$,$\Delta\theta_{or_{r}}$ over strides $(deg)$,,
str_b,stride_bend,$\Delta{\theta}_{b}$,$\Delta{\hat{\theta}}_{b}$,angle $(deg)$,,
d_mu,dst_mean,$\bar{d}$,$\bar{\hat{d}}$,distance $(mm)$,,
d_std,dst_std,$\~{d}$,$\~{\hat{d}}$,distance $(mm)$,,
ld_mu,lin_dst_mean,$\bar{{d}_{l}}$,$\bar{{\hat{d}}_{l}}$,distance $(mm)$,,
ld_std,lin_dst_std,$\~{{d}_{l}}$,$\~{{\hat{d}}_{l}}$,distance $(mm)$,,
v_mu,vel_mean,$\bar{v}$,$\bar{\hat{v}}$,velocity $(mm/sec)$,,
v_std,vel_std,$\~{v}$,$\~{\hat{v}}$,velocity $(mm/sec)$,,
a_mu,acc_mean,$\bar{\dot{v}}$,$\bar{\dot{\hat{v}}}$,acceleration $(mm/sec^2)$,,
a_std,acc_std,$\~{\dot{v}}$,$\~{\dot{\hat{v}}}$,acceleration $(mm/sec^2)$,,
lv_mu,lin_vel_mean,$\bar{{v}_{l}}$,$\bar{{\hat{v}}_{l}}$,velocity $(mm/sec)$,,
lv_std,lin_vel_std,$\~{{v}_{l}}$,$\~{{\hat{v}}_{l}}$,velocity $(mm/sec)$,,
la_mu,lin_acc_mean,$\bar{{\dot{v}}_{l}}$,$\bar{{\dot{\hat{v}}}_{l}}$,acceleration $(mm/sec^2)$,,
la_std,lin_acc_std,$\~{{\dot{v}}_{l}}$,$\~{{\dot{\hat{v}}}_{l}}$,acceleration $(mm/sec^2)$,,
cum_d_mu,cum_dst_mean,$\bar{{d}_{cum}}$,$\bar{{\hat{d}}_{cum}}$,distance $(mm)$,,
cum_d_std,cum_dst_std,$\~{{d}_{cum}}$,$\~{{\hat{d}}_{cum}}$,distance $(mm)$,,
sd_mu,scaled_dst_mean,$\bar{d}^{*}$,$\bar{\hat{d}}^{*}$,scaled distance $(-)$,,
sd_std,scaled_dst_std,$\~{d}^{*}$,$\~{\hat{d}}^{*}$,scaled distance $(-)$,,
sld_mu,scaled_lin_dst_mean,$\bar{{d}_{l}}^{*}$,$\bar{{\hat{d}}_{l}}^{*}$,scaled distance $(-)$,,
sld_std,scaled_lin_dst_std,$\~{{d}_{l}}^{*}$,$\~{{\hat{d}}_{l}}^{*}$,scaled distance $(-)$,,
sv_mu,scaled_vel_mean,$\bar{v}^{*}$,$\bar{\hat{v}}^{*}$,scaled velocity $(sec^{-1})$,,
sv_std,scaled_vel_std,$\~{v}^{*}$,$\~{\hat{v}}^{*}$,scaled velocity $(sec^{-1})$,,
sa_mu,scaled_acc_mean,$\bar{\dot{v}}^{*}$,$\bar{\dot{\hat{v}}}^{*}$,scaled acceleration $(sec^{-2})$,,
sa_std,scaled_acc_std,$\~{\dot{v}}^{*}$,$\~{\dot{\hat{v}}}^{*}$,scaled acceleration $(sec^{-2})$,,
slv_mu,scaled_lin_vel_mean,$\bar{{v}_{l}}^{*}$,$\bar{{\hat{v}}_{l}}^{*}$,scaled velocity $(sec^{-1})$,,
slv_std,scaled_lin_vel_std,$\~{{v}_{l}}^{*}$,$\~{{\hat{v}}_{l}}^{*}$,scaled velocity $(sec^{-1})$,,
sla_mu,scaled_lin_acc_mean,$\bar{{\dot{v}}_{l}}^{*}$,$\bar{{\dot{\hat{v}}}_{l}}^{*}$,scaled acceleration $(sec^{-2})$,,
sla_std,scaled_lin_acc_std,$\~{{\dot{v}}_{l}}^{*}$,$\~{{\dot{\hat{v}}}_{l}}^{*}$,scaled acceleration $(sec^{-2})$,,
scum_d_mu,scaled_cum_dst_mean,$\bar{{d}_{cum}}^{*}$,$\bar{{\hat{d}}_{cum}}^{*}$,scaled distance $(-)$,,
scum_d_std,scaled_cum_dst_std,$\~{{d}_{cum}}^{*}$,$\~{{\hat{d}}_{cum}}^{*}$,scaled distance $(-)$,,
str_sld_mu,stride_scaled_lin_dst_mean,${\bar{{d}_{l}^{*}}}_{str}$,${\bar{{\hat{d}}_{l}^{*}}}_{str}$,scaled distance $(-)$,,
str_sld_std,stride_scaled_lin_dst_std,${\~{{d}_{l}^{*}}}_{str}$,${\~{{\hat{d}}_{l}^{*}}}_{str}$,scaled distance $(-)$,,
