shortcut,par,symbol,exp_symbol,unit,lim,collect
Rtur_fo_std,Rturn_front_orientation_unwrapped_std,$\~{\theta_{Rturn}}$,$\~{\hat{\theta}_{Rturn}}$,angle $(deg)$,,
str_fo_mu,stride_front_orientation_unwrapped_mean,$\bar{\Delta{\theta}_{or_{f}}}$,$\bar{\Delta{\hat{\theta}}_{or_{f}}}$,angle $(deg)$,,
str_fo_std,stride_front_orientation_unwrapped_std,$\~{\Delta{\theta}_{or_{f}}}$,$\~{\Delta{\hat{\theta}}_{or_{f}}}$,angle $(deg)$,,
str_ro_mu,stride_rear_orientation_unwrapped_mean,$\bar{\Delta{\theta}_{or_{r}}}$,$\bar{\Delta{\hat{\theta}}_{or_{r}}}$,angle $(deg)$,,
str_ro_std,stride_rear_orientation_unwrapped_std,$\~{\Delta{\theta}_{or_{r}}}$,$\~{\Delta{\hat{\theta}}_{or_{r}}}$,angle $(deg)$,,
str_b_mu,stride_bend_mean,$\bar{\Delta{\theta}_{b}}$,$\bar{\Delta{\hat{\theta}}_{b}}$,angle $(deg)$,,
str_b_std,stride_bend_std,$\~{\Delta{\theta}_{b}}$,$\~{\Delta{\hat{\theta}}_{b}}$,angle $(deg)$,,
cum_sd_mu,cum_scaled_dst_mean,$\bar{{d}_{cum}^{*}}$,$\bar{{\hat{d}}_{cum}^{*}}$,scaled distance $(-)$,,
cum_sd_std,cum_scaled_dst_std,$\~{{d}_{cum}^{*}}$,$\~{{\hat{d}}_{cum}^{*}}$,scaled distance $(-)$,,
fsv_mu,scaled_vel_freq_mean,$\bar{{f}_{v}^{*}}$,$\bar{{\hat{f}}_{v}^{*}}$,frequency $(Hz)$,,
fsv_std,scaled_vel_freq_std,$\~{{f}_{v}^{*}}$,$\~{{\hat{f}}_{v}^{*}}$,frequency $(Hz)$,,
sf_am,scaled_amount_eaten,${m^{*}}_{feed}$,${\hat{m^{*}}}_{feed}$,food intake as % larval mass,,scaled_amount_eaten
c_odor1,first_odor_concentration,${C}_{odor_{1}}$,${\hat{C}_{odor_{1}}$,"Concentration C(t), $\mu$M","[0.0, 2.0]",first_odor_concentration
dc_odor1,first_odor_concentration_change,$\delta{C}_{odor_{1}}$,$\delta{\hat{C}_{odor_{1}}$,"Concentration change dC(t), $-$","[-0.03, 0.03]",first_odor_concentration_change
A_olf,olfactory_activation,$A_{olf}$,$\hat{A}_{olf}$,Olfactory activation,"[-1.0, 1.0]",olfactory_activation
A_tur,turner_activation,$A_{tur}$,$\hat{A}_{tur}$,Turner activation,"[10.0, 40.0]",turner_activation
Act_tur,turner_activity,$Act_{tur}$,$\hat{Act}_{tur}$,Turner activity,"[-20.0, 20.0]",ang_activity
