# generation_num and fitness are ignored when a genome file is loaded
# This is the structure of each line:
# robot_wheel_radius motor_ctrl_coefficient motor_ctrl_min_actuator_value sensor_delta_direction sensor_saturation_value sensor_max_distance generation_num fitness

0.675920218420138 5.0 10.0 13.083258488926148 0.03169777635725545 18 -0.6680608187077963
0.5800484919144048 3.9149635825705293 10.0 13.083258488926148 0.025086317041376364 18 -0.6807117272546326
0.5800484919144048 4.3098915958314965 9.224337610669018 13.14226615840649 0.023935179714881252 18 -0.6908219889856685
0.5954869879466864 3.9149635825705293 10.0 13.245640645897332 0.02719407416642669 18 -0.6975483157941783
0.4996681571840018 4.3098915958314965 7.3157721797867605 13.083258488926148 0.023935179714881252 18 -0.7022445546754879
0.675920218420138 4.328511125007673 10.0 13.245640645897332 0.025460925982321404 18 -0.7079348819833332
0.569886148225187 4.397030475098375 10.0 13.14226615840649 0.023935179714881252 18 -0.7085864090176508
0.5474434627712778 4.3098915958314965 10.0 13.083258488926148 0.02221260408179662 18 -0.71149281698493
0.569886148225187 4.3098915958314965 9.224337610669018 13.083258488926148 0.023935179714881252 18 -0.7137401049196056
0.5999440164680617 4.3098915958314965 9.470673307964248 13.151709733979256 0.023349197960852133 18 -0.7138221570188462
0.5999440164680617 3.8744301512673474 8.074045256913205 13.14226615840649 0.023935179714881252 18 -0.7138566429880828
0.5999440164680617 3.8744301512673474 9.961025822654044 13.083258488926148 0.023935179714881252 18 -0.7205184766142846
0.5800484919144048 3.9149635825705293 10.0 13.14226615840649 0.025086317041376364 18 -0.7226498065580405
0.5800484919144048 3.9149635825705293 9.144282153192943 13.083258488926148 0.025086317041376364 18 -0.7271478222174184
0.5668171342640481 4.510760944144284 7.131338680002389 13.14226615840649 0.02480986189355587 18 -0.727361448179109
0.4996681571840018 3.969395392474376 7.648449434092531 13.083258488926148 0.023935179714881252 18 -0.7289844547355113
0.5896980949412766 4.469801627955753 10.0 12.72955736394853 0.023935179714881252 18 -0.7453324484799788
0.5999440164680617 3.3302688552854316 10.0 13.083258488926148 0.023935179714881252 18 -0.7489980509401866
0.5800484919144048 4.3098915958314965 7.648449434092531 13.083258488926148 0.02221260408179662 18 -0.7535051199682858
0.4996681571840018 4.328511125007673 7.648449434092531 13.083258488926148 0.03034570595212484 18 -0.7601887846185355
0.5800484919144048 5.0 9.224337610669018 13.083258488926148 0.0296703114955839 18 -0.761604572902162
0.569886148225187 4.397030475098375 9.470673307964248 13.808524700565837 0.023935179714881252 18 -0.7721405352590232
0.5999440164680617 3.8744301512673474 9.224337610669018 12.796529346514532 0.023935179714881252 18 -0.784528836585191
0.4996681571840018 3.772746265583493 7.648449434092531 13.083258488926148 0.03130832289438956 18 -0.8038616298586229
0.5954869879466864 4.244097639534106 9.224337610669018 12.074655510489034 0.03034570595212484 18 -0.806391495186203
0.5800484919144048 4.909257595969802 9.224337610669018 13.083258488926148 0.03034570595212484 18 -0.8105169405790614
0.7290816731566352 4.077337149320351 9.050785589380709 12.310984536701348 0.019097719199045217 18 -0.8196255075667616
0.569886148225187 3.5557619776003393 9.343203261322937 12.447387753831624 0.023935179714881252 18 -0.8204148119333802
0.7378879388097868 4.328511125007673 7.461328142947681 13.14226615840649 0.02719407416642669 18 -0.8249662255036483
0.5999440164680617 4.3098915958314965 9.986997119203975 11.01637820290526 0.023935179714881252 18 -0.9869790611091204
