,body_params.initial_length,neural_params.crawler_params.initial_freq,neural_params.intermitter_params.crawler_reoccurence_rate,neural_params.crawler_params.step_to_length_mu,neural_params.crawler_params.step_to_length_std
0,0.004011208168473573,1.75,0.9527559055118108,0.20175885447868325,0.05973577009149447
1,0.004359851567373676,1.6875,0.9276595744680852,0.2184782447941485,0.04863420374030882
2,0.004487438014982579,1.4375,0.9326923076923076,0.22213577512926905,0.03860634178719522
3,0.004436943144872743,1.3125,0.9516908212560388,0.2629392127009678,0.0416647230906962
4,0.0033287861914767045,1.5,0.8952380952380953,0.24314183500764874,0.06635879400757633
5,0.003579976885743577,1.5,0.9670781893004116,0.2594183018817752,0.037876809154290564
6,0.0042459451287748425,1.6875,0.8921568627450981,0.1946740451079396,0.04879103144839884
7,0.0034785482200389247,1.625,0.8951965065502183,0.2326250307164389,0.0701291672832742
8,0.004003442363181267,1.4375,0.9493087557603688,0.2496743951498098,0.05033670999215626
9,0.0041299443630724905,1.6875,0.8933333333333333,0.19669611496096512,0.041027106867088464
10,0.003873953033063971,1.5625,0.9043478260869564,0.2162976800503829,0.06410378872899729
11,0.00334537634292106,1.4375,0.9710743801652892,0.2708763369787517,0.04659723257648137
12,0.003921885761657232,1.5625,0.9178082191780822,0.2338063727555361,0.058350901556898475
13,0.0036175965976718997,1.4375,0.8617021276595744,0.21197926754963864,0.057161517637997886
14,0.0040044508857154035,1.4375,0.8316326530612245,0.20599712885674398,0.06254576701660369
15,0.003913139342869849,1.5,0.825136612021858,0.2303474873312309,0.07050195990852345
16,0.003965994619728288,1.3125,0.8866995073891626,0.22618662404309145,0.051048601051888166
17,0.003767805533926932,1.25,0.9246231155778896,0.2264120906189175,0.045035051382429116
18,0.0038844213212590787,1.375,0.8986175115207373,0.20672901613517367,0.04823948186155042
19,0.0033091842494175285,1.25,0.9271844660194176,0.2545255324836439,0.048518461118732335
20,0.003593046624427389,1.4375,0.7939393939393941,0.21131011618626155,0.07379736158289484
21,0.003692777316067286,1.4375,0.9466666666666668,0.2591399499969417,0.04897907688287185
22,0.0031988650334898667,1.375,0.9513274336283186,0.2709662795647309,0.056294373077535854
23,0.004199081661931377,1.3125,0.7738095238095238,0.1954862778232022,0.05935637651190113
24,0.00439486827212164,1.875,0.8660287081339713,0.21721338951008226,0.07093147108011348
25,0.004401773770480943,1.5625,0.8146341463414635,0.18391667718903226,0.055901343689271764
26,0.003777184112788473,1.5,0.940677966101695,0.22869003583823724,0.04153849418298138
27,0.0044396845256877565,1.5,0.8657407407407407,0.22287219098145586,0.07218698163811968
28,0.004605340029822937,1.25,0.8539325842696629,0.2031481090726976,0.0553630787381314
29,0.004242073858179553,1.6875,0.8995633187772926,0.2029001959445871,0.059745815960286074
30,0.0044735546534128015,1.375,0.8078817733990148,0.1452881085846517,0.05033983771350061
31,0.0040332103681532585,1.5,0.890625,0.2638297795116412,0.07674956684444266
32,0.004507778397457812,1.0625,0.3727272727272727,0.1932348477170524,0.05719840919837956
33,0.00445661550249446,1.3125,0.8165137614678899,0.20714912792072304,0.053672776474027684
34,0.003828817976619268,1.375,0.8888888888888888,0.2189095190690944,0.05535634322056292
35,0.004364882893507453,1.5625,0.8979591836734694,0.21653618481059772,0.05478985019067061
36,0.0045700487828924784,1.5,0.791907514450867,0.16931194069248412,0.056888893833803
37,0.004191302931265392,1.1875,0.5960264900662251,0.1898507765368702,0.05532626760257371
38,0.004564419614139871,1.5,0.7298850574712643,0.16361897005943352,0.06184663298936977
39,0.004298503009703755,1.5,0.9579831932773109,0.2325719634499538,0.044619148675400906
40,0.004373693504848029,1.375,0.9587155963302753,0.21128702379971445,0.05493787272591917
41,0.004103487519674672,1.4375,0.8609865470852018,0.19489783151219947,0.05237686984335968
42,0.0045212402356414405,1.5625,0.8851674641148326,0.20245313346619884,0.04905852704632869
43,0.004365854794649241,1.625,0.8631578947368421,0.18014070524130293,0.06090140047481023
44,0.00402792668658868,1.1875,0.7897727272727273,0.186483606730446,0.05756584447559952
45,0.004333336887591341,1.625,0.9147982062780268,0.2280950977065641,0.05321935130083732
46,0.0043767035606492284,1.25,0.7914438502673797,0.2121330849448687,0.06701202193876532
47,0.004744994751046393,1.375,0.86,0.1848119038465013,0.06711702364420677
48,0.0041775742766658455,1.0625,0.6783216783216783,0.2532562798314237,0.04573893144664122
49,0.003915637302008817,1.1875,0.7808988764044944,0.2694800048203869,0.050446568741322965
50,0.004311356775052103,1.0625,0.8509316770186335,0.30516966156835706,0.05617519948405508
51,0.004461542156515931,1.5625,0.94,0.2505193273870213,0.049969781977615216
52,0.004405619673532606,1.625,0.9116465863453816,0.20140229871080148,0.05518466717250349
53,0.0040034584053475425,1.0,0.7153846153846154,0.2483307659043185,0.060981039205236176
54,0.003906498991913212,1.5,0.9268292682926828,0.2729887394713513,0.07298964324503107
55,0.0036218563472208945,1.25,0.9495412844036696,0.27647593407874765,0.04089238894030868
56,0.0034162185905421837,1.375,0.8962264150943396,0.22052007643281032,0.0719014329467565
57,0.0032250911167878964,1.25,0.9625668449197858,0.3074918144518594,0.042701366681895406
58,0.003682741080668122,1.5,0.8808290155440415,0.24769712329702784,0.06382526114995007
59,0.003366269055880397,1.375,0.9369369369369368,0.2720000118445775,0.06404412097424869
60,0.004185501430083148,1.4375,0.8516483516483516,0.18947031097415865,0.05620371011631802
61,0.0037427721257248378,1.3125,0.9561403508771932,0.2744641493482454,0.054270951011250464
62,0.0035598412984950843,1.75,0.9604743083003952,0.2544053558779387,0.04656540351089004
63,0.002891698063584311,1.4375,0.9513274336283186,0.2840981729111756,0.04841337344957021
64,0.004344017319383578,1.3125,0.8010752688172043,0.18876432853933545,0.05960530243452911
65,0.003932295473808152,1.25,0.8609625668449198,0.2103896557137877,0.06304139334718438
66,0.004170908245138968,1.0625,0.6287878787878788,0.2283898385857989,0.06492770943235167
67,0.004098877821147791,1.3125,0.8776595744680851,0.19407384348101306,0.04250740705138992
68,0.0032960802632584258,1.6875,0.8514851485148515,0.2431358106742261,0.07054943064528259
