AgentID,num_ticks,cum_dur,length,bend_mean,bend_vel_mean,bend_std,bend_vel_std,num_Lturns,cum_Lturn_dur,Lturn_dur_mean,Lturn_dur_std,Lturn_dur_ratio,num_Rturns,cum_Rturn_dur,Rturn_dur_mean,Rturn_dur_std,Rturn_dur_ratio,Lturn_front_orientation_unwrapped_mean,Lturn_front_orientation_unwrapped_std,Rturn_front_orientation_unwrapped_mean,Rturn_front_orientation_unwrapped_std,cum_centroid_dst,cum_scaled_centroid_dst,cum_dst,final_x,final_y,initial_x,initial_y,vel_mean,cum_scaled_dst,scaled_vel_mean,dispersion_max,40sec_dispersion_max,final_40sec_dispersion,dispersion_mean,final_dispersion,scaled_dispersion_max,scaled_40sec_dispersion_max,scaled_final_40sec_dispersion,scaled_dispersion_mean,scaled_final_dispersion,tortuosity,tortuosity_2_mean,tortuosity_2_std,tortuosity_5_mean,tortuosity_5_std,tortuosity_10_mean,tortuosity_10_std,tortuosity_20_mean,tortuosity_20_std,scaled_vel_freq,cum_stride_dst,stride_dst_mean,stride_dst_std,stride_straight_dst_mean,stride_straight_dst_std,stride_reoccurence_rate,cum_scaled_stride_dst,scaled_stride_dst_mean,scaled_stride_dst_std,scaled_stride_straight_dst_mean,scaled_stride_straight_dst_std,num_strides,cum_stride_dur,stride_dur_mean,stride_dur_std,stride_dur_ratio,num_non_strides,cum_non_stride_dur,non_stride_dur_mean,non_stride_dur_std,non_stride_dur_ratio,stride_front_orientation_unwrapped_mean,stride_front_orientation_unwrapped_std,stride_rear_orientation_unwrapped_mean,stride_rear_orientation_unwrapped_std,stride_bend_mean,stride_bend_std,num_pauses,cum_pause_dur,pause_dur_mean,pause_dur_std,pause_dur_ratio
Larva_115,2731,170.6875,4.0044508857154,-1.75717964455251,1.07398125850074,39.151120634778,114.055041692056,192,74.4375,0.3876953125,0.321534271220869,0.43610399121201,197,69.4375,0.35247461928934,0.278057675278177,0.406810692054193,26.3868480844021,47.8841364844973,-23.8264765646124,40.6133434761529,183.634896160727,45.8576971978319,183.634896160727,19.4320486806587,46.35540238788,0.338289567326977,16.6987649712531,1.07585438981019,45.8576971978319,0.268664648540941,49.6526328210094,32.6917840311755,32.759733146234,29.9383834944131,35.2716285410699,12.399361170374,8.16386190371143,8.18083030137636,7.47627686013297,8.80810616678809,0.807925240362821,0.165077095492341,0.218500331316987,0.272211321360599,0.25141371325644,0.386252285134948,0.254319551028956,0.450244132739517,0.189787167640884,1.4375,161.681455480623,0.824905385105219,0.250461452127388,0.771506456714693,0.242823991286846,0.831632653061224,40.3754372559218,0.205997128856744,0.062545767016604,0.192662234781502,0.060638524036602,196,133.625,0.681760204081633,0.116570496544252,0.782863419992677,38,34.1875,0.899671052631579,0.588196732076853,0.200292932991578,-0.243678843202585,50.6069399020492,-0.052611428707859,16.3133971125354,0.579312067209502,45.7032164544193,36,14.875,0.413194444444444,0.380400921543457,0.087147564994508
Larva_116,2771,173.1875,3.91313934286985,4.50716280685674,-5.3938033172608,44.5843423917327,165.95829611165,226,72.75,0.321902654867257,0.251139242992206,0.420064958498737,226,67.4375,0.298396017699115,0.275740516560334,0.38939011187297,22.4190878846364,38.7822707068966,-25.6356194350167,49.0193551128097,198.740614533462,50.7880239162932,198.740614533462,38.9328507162663,-12.3333385651315,-7.43947491515012,-26.2795465115569,1.14754595183522,50.7880239162932,0.29325455888152,54.5296763136523,26.6327480556806,24.7966167984807,35.6664907727533,48.4240570434888,13.9350203342519,6.80597998745131,6.33675793929054,9.11454656930154,12.3747336347024,0.756345439722208,0.213803081760152,0.228503395222955,0.36552495500551,0.222203249507469,0.49318457884395,0.242950520643384,0.677344285602584,0.057974631350007,1.5,164.952872182891,0.901381815207054,0.275883993067476,0.826741826589416,0.257176234214011,0.825136612021858,42.1535901816153,0.230347487331231,0.070501959908524,0.211273290867044,0.065721205323959,183,128.9375,0.70457650273224,0.124167799637518,0.744496571634789,42,40.75,0.970238095238095,0.702271751289839,0.235294117647059,5.62889282721176,40.5606171843657,-0.93841048031822,19.8136475719159,3.86376925317608,37.3100791684119,40,14.0625,0.3515625,0.389332798573241,0.081198123421148
Larva_117,2845,177.8125,3.96599461972829,-6.17735935535351,-1.72165812420896,26.6492910063155,82.4758547696188,234,69.375,0.296474358974359,0.234233787381058,0.390158172231986,236,75.625,0.320444915254237,0.260937167654202,0.42530755711775,13.2804230202774,24.6016093121878,-15.0953906405137,23.9380491352229,192.811382551523,48.6161482903708,192.811382551523,9.18245777698597,29.7362203132123,-3.21781020077218,-26.9816181369886,1.08435223930558,48.6161482903708,0.273412433267463,71.7353966589049,24.7086486348313,24.7750929149977,43.994867940389,58.0575563073688,18.0876182489172,6.23012661487778,6.24688011218105,11.0930225980496,14.6388388977054,0.698889372924575,0.091687137236993,0.158133390338608,0.103685265890939,0.106738488836348,0.149048352221209,0.163357578356357,0.197619134585269,0.168542584525377,1.3125,182.102151603909,0.897054934009406,0.202458477116444,0.846426315754678,0.198884233346569,0.886699507389162,45.9158846807476,0.226186624043091,0.051048601051888,0.213420944028579,0.05014737850557,203,156,0.768472906403941,0.133111360008428,0.877328646748682,26,19.625,0.754807692307692,0.417927579298689,0.110369068541301,-2.69006022887172,25.0202561789306,-1.30826541391893,10.4365675012827,-1.39879022781309,25.0368262822924,21,7.25,0.345238095238095,0.261918289693924,0.040773286467487
Larva_118,2808,175.5,3.76780553392693,-5.55346231712645,0.563220765032427,19.1492176523993,50.571115019732,242,63.875,0.263946280991736,0.209503773539262,0.363960113960114,255,76.3125,0.299264705882353,0.261384626107139,0.43482905982906,9.64754567069923,17.0616686664672,-9.88743024747622,13.2942289203064,172.502425008826,45.7832612260746,172.502425008826,43.3221342157571,-5.23185075449927,-0.36267709176559,13.2008790115508,0.982919800620092,45.7832612260746,0.260873283339456,67.933711642145,35.2926752114761,35.3876787418683,44.0781202718192,47.4144309846917,18.0300472066408,9.36690465940605,9.39211921189203,11.6986186985822,12.5840971774556,0.725137597443829,0.067541146060266,0.119920781696305,0.070711483001916,0.088407268500399,0.080775811832589,0.074990586971521,0.147304022548229,0.109535275010919,1.25,169.762268868403,0.853076727981923,0.1696833158194,0.809455906707591,0.174126352395671,0.92462311557789,45.0560060331646,0.226412090618917,0.045035051382429,0.21483484203707,0.046214262075832,199,164.3125,0.825690954773869,0.12912509093778,0.936253561253561,18,9.875,0.548611111111111,0.302832488910733,0.056267806267806,-2.02393694402644,18.5757504678079,-1.05267850773922,7.4556244638496,-0.871495550898567,20.3659356268505,18,6.5,0.361111111111111,0.232429973993152,0.037037037037037
Larva_119,2809,175.5625,3.88442132125908,-0.134742171100315,-0.512636692538747,33.1574833167447,85.0784031411198,250,67.5625,0.27025,0.214860939664645,0.384834460662157,238,72.5625,0.304884453781513,0.252997144565189,0.413314346742613,11.8529455188551,21.9973006509403,-14.5673835487201,29.1784726445104,185.307151534072,47.7052142927707,185.307151534072,-22.6486267011961,-0.58404578644426,-3.03968383175767,15.8593870451698,1.05550531311682,47.7052142927707,0.271727813700367,40.508056662896,25.1152748733034,25.2605845740638,24.7587061322978,25.5909578512549,10.428337534139,6.46564128763527,6.50304961406089,6.37384672893122,6.58810044914489,0.861899782931208,0.090465260049913,0.140702437343537,0.130795668844606,0.113970839771414,0.227604753321991,0.207764214852856,0.411820822081853,0.18864851127123,1.375,174.255903765649,0.803022597998381,0.187382471869497,0.759348178319353,0.189845179332537,0.898617511520737,44.8601965013327,0.206729016135174,0.048239481861551,0.195485534528273,0.048873477831442,217,153.4375,0.707085253456221,0.130983197480721,0.873976504093984,27,20.0625,0.743055555555556,0.696689746274554,0.114275542897828,-2.61237929180629,27.6879880811364,-2.89262482229888,12.2943322670253,-0.411553370564412,26.6981073460876,19,7.75,0.407894736842105,0.353165509631083,0.044143823424706
Larva_120,2817,176.0625,3.30918424941753,-8.25302474916463,-1.76259527711142,22.349472411912,79.7657837124717,258,68.25,0.26453488372093,0.204893862493098,0.387646432374867,252,71.875,0.285218253968254,0.233520075116034,0.408235711750089,9.82351421656365,15.8891338383994,-12.5261621640237,25.2233884101678,178.895698529398,54.0603620245342,178.895698529398,19.5975654754923,12.8199397987453,-5.09675586501763,-21.7526241591126,1.01609200442683,54.0603620245342,0.307052109475523,60.8648136223096,37.2942679367468,37.390660678339,42.5240257290739,42.4861352100723,18.3926941006754,11.2699279114819,11.2990567644943,12.8503046442817,12.8388545356913,0.762508905695737,0.056664057122839,0.140668731170173,0.076418347507446,0.117265154532541,0.133415462887959,0.149853116244964,0.204667632528542,0.154188081728665,1.25,173.508007932914,0.842271883169484,0.160556527340086,0.799405179616987,0.155979363520163,0.927184466019418,52.4322596916306,0.254525532483644,0.048518461118732,0.241571674275222,0.047135291287458,206,159.1875,0.772754854368932,0.105099961016113,0.904153354632588,20,15.25,0.7625,0.580876719414623,0.086616968406106,-1.9516665311899,22.6366532754774,-1.61016189306409,10.1190051982361,-0.397935481123294,19.8187343435636,15,6.5625,0.4375,0.446339276783928,0.03727369542066
Larva_121,2648,165.5,3.59304662442739,-4.94274378373274,0.893546564158508,41.0813930451269,144.685529309702,210,63.375,0.301785714285714,0.257433903414989,0.382930513595166,218,70.6875,0.324254587155963,0.307397542935568,0.427114803625378,19.4705674118251,33.6706914919981,-20.8867351325729,32.9835694202244,149.695511239304,41.6625574022882,149.695511239304,-26.7811234152893,-50.8991670676026,4.43835447599713,-35.2651943307229,0.904504599633257,41.6625574022882,0.251737506962467,39.4318499853834,26.6568029834615,25.8776289334413,28.3978832805774,34.9152818024145,10.9744888132832,7.41899723823087,7.20214114604352,7.90356659652395,9.71745859489892,0.766757990848512,0.238728994083526,0.239329015282725,0.359318833682759,0.254495713877233,0.461614173653443,0.266785273043208,0.52712733210927,0.253491637071088,1.4375,125.275771445617,0.759247099670407,0.265157360927068,0.700147299925107,0.256846455296458,0.793939393939394,34.8661691707332,0.211310116186262,0.073797361582895,0.194861735209653,0.071484309040212,165,118.875,0.720454545454545,0.154727896665895,0.718277945619335,43,42.9375,0.998546511627907,0.838690559698878,0.259441087613293,-2.2508035913455,41.696899140909,0.794715043044875,19.2865698824517,-0.430320170617008,44.2208856530337,40,25.1875,0.6296875,0.662253144018827,0.152190332326284
Larva_122,2767,172.9375,3.69277731606729,5.24151875207617,1.27495728825122,25.2762383038287,98.256061681044,235,79.1875,0.336968085106383,0.253645396616911,0.457896638959162,222,59.875,0.269707207207207,0.233699646435764,0.346223346584749,15.0287287312359,28.0408099513284,-12.2142691473266,25.1224057781079,219.178408755325,59.3532699092573,219.178408755325,57.0253701661377,-26.7724768847409,3.52050192521018,-20.5974550771215,1.26738508857434,59.3532699092573,0.34320647580344,60.8374868474921,36.1816908403779,32.9445731099773,38.6928015493589,53.8600206071589,16.4747239382099,9.79796173545349,8.92135384569099,10.4779677293311,14.5852338219296,0.754264022113216,0.072144430194196,0.136844154562777,0.091321195309777,0.125586485702671,0.136164946473038,0.140389608413926,0.288445201124754,0.183230718893123,1.4375,215.312879032991,0.956946129035517,0.180868824074985,0.907683735469251,0.179887727393134,0.946666666666667,58.3064887493119,0.259139949996942,0.048979076882872,0.245799748476551,0.048713396989968,225,158.0625,0.7025,0.09731323687674,0.913986266714854,16,13.0625,0.81640625,0.519649696710839,0.075533068305024,2.0786025477729,33.7738421573461,2.65983656819541,10.0793139961476,-0.372593377314969,31.4683827228176,10,4.3125,0.43125,0.480026402630337,0.024936754607879
Larva_125,2800,175,3.19886503348987,-5.34348866687203,1.7753112706999,21.7246602871336,91.9689682739969,229,71,0.310043668122271,0.249060951844833,0.405714285714286,237,70.125,0.295886075949367,0.225062269387628,0.400714285714286,14.4540395063187,24.7064708702553,-14.2429802638604,18.9250911349523,196.405998670571,61.3986512761052,196.405998670571,-25.2976174875449,39.4442284168342,0.577188883815457,-19.3811865710974,1.12231999240326,61.3986512761052,0.350849435863458,69.9742549883161,34.9241598204632,35.0221798535167,40.0339083706035,64.2645707467011,21.8747131422348,10.9176721914904,10.9483143198788,12.5150351613703,20.0898037503603,0.672797311784294,0.068005109606093,0.133302194185603,0.077120789147809,0.087420565091338,0.088554173305949,0.074006973319824,0.111441924674928,0.035619961298282,1.375,195.893309871707,0.866784556954457,0.180078101619963,0.819037739888438,0.179758872125412,0.951327433628319,61.2383791816292,0.270966279564731,0.056294373077536,0.256040105260362,0.056194578465632,226,163.6875,0.724280973451327,0.112941271035207,0.935357142857143,15,9.5625,0.6375,0.3408563270856,0.054642857142857,-1.43907855011354,25.6935464688566,-0.84351511861757,9.65633261688955,-0.14695182250392,23.9440338552385,7,1.875,0.267857142857143,0.086258194917794,0.010714285714286
Larva_127,2600,162.5,4.19908166193138,-0.688091880883876,0.132743596932486,39.3947446601306,120.944055546563,206,64.3125,0.312196601941748,0.277008847156604,0.395769230769231,203,68.6875,0.338362068965517,0.287934232021751,0.422692307692308,22.0169122904333,40.9336708916874,-19.9572117085596,35.0092967796899,164.978249889905,39.2891263310233,164.978249889905,31.3735410477993,-4.76385572255343,4.93928457553808,1.43062866208235,1.01525076855326,39.2891263310233,0.241779238960144,30.3760282533197,20.3923296376641,20.443301695234,21.2654027991471,27.1503508638982,7.23396940066847,4.85637843687103,4.86851729523903,5.06429846124164,6.46578300918548,0.835430725674345,0.220029703529544,0.214772006690138,0.332247649168867,0.234199789375277,0.382622663589461,0.185145214388235,0.355836846900887,0.107992450913683,1.3125,137.904957853594,0.820862844366631,0.249242272129818,0.749109086751583,0.235077735497795,0.773809523809524,32.841694674298,0.195486277823202,0.059356376511901,0.178398313503393,0.055983130223209,168,121.75,0.724702380952381,0.148002875013498,0.749230769230769,45,37.25,0.827777777777778,0.635725521063386,0.229230769230769,2.38799118248668,42.0032137943996,1.27372101604192,17.1889560801869,1.03031393472437,37.9111231752422,38,16.75,0.44078947368421,0.366729568077648,0.103076923076923
