Date,X,Y
01/01/2014 00:00:01,127.819999694824,109.120002746582
01/01/2014 00:00:02,127.898574829102,109.041427612305
01/01/2014 00:00:03,127.944664001465,108.995330810547
01/01/2014 00:00:04,128.02262878418,108.917381286621
01/01/2014 00:00:05,128.199005126953,108.740997314453
01/01/2014 00:00:06,128.372146606445,108.567855834961
01/01/2014 00:00:07,128.506454467773,108.433540344238
01/01/2014 00:00:08,128.610733032227,108.32926940918
01/01/2014 00:00:09,128.641189575195,108.233856201172
01/01/2014 00:00:10,128.753280639648,108.133460998535
01/01/2014 00:00:11,128.897598266602,107.960472106934
01/01/2014 00:00:12,129.034881591797,107.794868469238
01/01/2014 00:00:13,129.088317871094,107.665084838867
01/01/2014 00:00:14,129.07585144043,107.626533508301
01/01/2014 00:00:15,129.043685913086,107.648147583008
01/01/2014 00:00:16,129.087295532227,107.551956176758
01/01/2014 00:00:17,129.136260986328,107.399284362793
01/01/2014 00:00:18,129.223434448242,107.183738708496
01/01/2014 00:00:19,129.274856567383,107.00464630127
01/01/2014 00:00:20,129.346176147461,106.816375732422
01/01/2014 00:00:21,129.383575439453,106.670509338379
01/01/2014 00:00:22,129.449890136719,106.563186645508
01/01/2014 00:00:23,129.488952636719,106.470100402832
01/01/2014 00:00:24,129.558670043945,106.308006286621
01/01/2014 00:00:25,129.66471862793,106.083450317383
01/01/2014 00:00:26,129.72314453125,105.900825500488
01/01/2014 00:00:27,129.727554321289,105.713371276855
01/01/2014 00:00:28,129.707214355469,105.504730224609
01/01/2014 00:00:29,129.753601074219,105.345581054688
01/01/2014 00:00:30,129.799987792969,105.170837402344
01/01/2014 00:00:31,129.819030761719,105.027885437012
01/01/2014 00:00:32,129.815612792969,104.8525390625
01/01/2014 00:00:33,129.869873046875,104.637565612793
01/01/2014 00:00:34,129.915802001953,104.403366088867
01/01/2014 00:00:35,129.931213378906,104.169662475586
01/01/2014 00:00:36,129.925033569336,103.944236755371
01/01/2014 00:00:37,129.978500366211,103.725410461426
01/01/2014 00:00:38,130.024917602539,103.508598327637
01/01/2014 00:00:39,130.041061401367,103.355606079102
01/01/2014 00:00:40,130.035263061523,103.124404907227
01/01/2014 00:00:41,130.023880004883,102.867721557617
01/01/2014 00:00:42,130.01692199707,102.68709564209
01/01/2014 00:00:43,130.080764770508,102.514450073242
01/01/2014 00:00:44,130.135986328125,102.31714630127
01/01/2014 00:00:45,130.15510559082,102.096351623535
01/01/2014 00:00:46,130.148147583008,101.86637878418
01/01/2014 00:00:47,130.134582519531,101.638526916504
01/01/2014 00:00:48,130.191192626953,101.416175842285
01/01/2014 00:00:49,130.178329467773,101.197463989258
01/01/2014 00:00:50,130.144546508789,100.9794921875
01/01/2014 00:00:51,130.122116088867,100.695747375488
01/01/2014 00:00:52,130.117553710938,100.487487792969
01/01/2014 00:00:53,130.123031616211,100.238403320313
01/01/2014 00:00:54,130.129379272461,100.054588317871
01/01/2014 00:00:55,130.132354736328,99.876220703125
01/01/2014 00:00:56,130.132186889648,99.6106491088867
01/01/2014 00:00:57,130.130828857422,99.3361892700195
01/01/2014 00:00:58,130.129776000977,99.0901947021484
01/01/2014 00:00:59,130.064605712891,98.9360885620117
01/01/2014 00:01:00,130.011566162109,98.8456802368164
01/01/2014 00:01:01,129.994781494141,98.8996047973633
01/01/2014 00:01:02,130.00276184082,98.9809341430664
01/01/2014 00:01:03,130.081085205078,99.0255432128906
01/01/2014 00:01:04,130.142059326172,98.8990325927734
01/01/2014 00:01:05,130.159957885742,98.7120590209961
01/01/2014 00:01:06,130.149642944336,98.5456771850586
01/01/2014 00:01:07,130.133819580078,98.2912445068359
01/01/2014 00:01:08,130.060211181641,98.0858764648438
01/01/2014 00:01:09,130.136047363281,98.0217437744141
01/01/2014 00:01:10,130.163589477539,97.9885101318359
01/01/2014 00:01:11,130.155075073242,97.9226760864258
01/01/2014 00:01:12,130.201675415039,97.7525482177734
01/01/2014 00:01:13,130.178512573242,97.5750961303711
01/01/2014 00:01:14,130.205276489258,97.3695449829102
01/01/2014 00:01:15,130.236740112305,97.2088165283203
01/01/2014 00:01:16,130.251571655273,97.0315246582031
01/01/2014 00:01:17,130.250823974609,96.8222503662109
01/01/2014 00:01:18,130.244140625,96.723274230957
01/01/2014 00:01:19,130.174087524414,96.7279205322266
01/01/2014 00:01:20,130.119338989258,96.772331237793
01/01/2014 00:01:21,130.103164672852,96.8068695068359
01/01/2014 00:01:22,130.112365722656,96.6872406005859
01/01/2014 00:01:23,130.126525878906,96.5100479125977
01/01/2014 00:01:24,130.134384155273,96.3488616943359
01/01/2014 00:01:25,130.135025024414,96.289306640625
01/01/2014 00:01:26,130.067443847656,96.3065643310547
01/01/2014 00:01:27,130.011749267578,96.3451614379883
01/01/2014 00:01:28,129.993759155273,96.4346160888672
01/01/2014 00:01:29,130.001861572266,96.4921875
01/01/2014 00:01:30,130.015884399414,96.5027160644531
01/01/2014 00:01:31,130.024063110352,96.4877395629883
01/01/2014 00:01:32,130.025024414063,96.4711380004883
01/01/2014 00:01:33,130.0224609375,96.4636535644531
01/01/2014 00:01:34,130.019958496094,96.4643249511719
01/01/2014 00:01:35,130.018951416016,96.4679489135742
01/01/2014 00:01:36,130.019165039063,96.4706420898438
01/01/2014 00:01:37,130.019744873047,96.4713668823242
01/01/2014 00:01:38,130.020126342773,96.4708633422852
01/01/2014 00:01:39,130.020217895508,96.4701461791992
01/01/2014 00:01:40,130.020126342773,96.4697647094727
01/01/2014 00:01:41,130.02001953125,96.4697494506836
