Date,X,Y
01/01/2014 00:10:50,221.869995117188,167.529998779297
01/01/2014 00:10:51,221.791427612305,167.294281005859
01/01/2014 00:10:52,221.745330810547,167.080215454102
01/01/2014 00:10:53,221.596206665039,166.868637084961
01/01/2014 00:10:54,221.504440307617,166.652709960938
01/01/2014 00:10:55,221.423110961914,166.432693481445
01/01/2014 00:10:56,221.328826904297,166.276504516602
01/01/2014 00:10:57,221.220016479492,166.043197631836
01/01/2014 00:10:58,221.104598999023,165.786331176758
01/01/2014 00:10:59,220.924743652344,165.541580200195
01/01/2014 00:11:00,220.759704589844,165.381286621094
01/01/2014 00:11:01,220.633209228516,165.220397949219
01/01/2014 00:11:02,220.532241821289,165.0244140625
01/01/2014 00:11:03,220.371536254883,164.799865722656
01/01/2014 00:11:04,220.216247558594,164.631164550781
01/01/2014 00:11:05,220.089874267578,164.455108642578
01/01/2014 00:11:06,220.049896240234,164.315002441406
01/01/2014 00:11:07,219.939193725586,164.207397460938
01/01/2014 00:11:08,219.735015869141,164.046829223633
01/01/2014 00:11:09,219.548034667969,163.829498291016
01/01/2014 00:11:10,219.413513183594,163.587295532227
01/01/2014 00:11:11,219.250091552734,163.412857055664
01/01/2014 00:11:12,219.106323242188,163.239349365234
01/01/2014 00:11:13,218.990539550781,163.10368347168
01/01/2014 00:11:14,218.824768066406,162.933792114258
01/01/2014 00:11:15,218.67138671875,162.720321655273
01/01/2014 00:11:16,218.54866027832,162.485122680664
01/01/2014 00:11:17,218.446029663086,162.37971496582
01/01/2014 00:11:18,218.282424926758,162.195098876953
01/01/2014 00:11:19,218.125411987305,162.021987915039
01/01/2014 00:11:20,217.998825073242,161.825958251953
01/01/2014 00:11:21,217.894515991211,161.606369018555
01/01/2014 00:11:22,217.795974731445,161.441757202148
01/01/2014 00:11:23,217.693054199219,161.331909179688
01/01/2014 00:11:24,217.519287109375,161.179565429688
01/01/2014 00:11:25,217.418930053711,161.034759521484
01/01/2014 00:11:26,217.278137207031,160.848693847656
01/01/2014 00:11:27,217.138900756836,160.690567016602
01/01/2014 00:11:28,217.017562866211,160.572280883789
01/01/2014 00:11:29,216.910247802734,160.410354614258
01/01/2014 00:11:30,216.807098388672,160.261154174805
01/01/2014 00:11:31,216.701614379883,160.075408935547
01/01/2014 00:11:32,216.527648925781,159.919357299805
01/01/2014 00:11:33,216.363296508789,159.802627563477
01/01/2014 00:11:34,216.234954833984,159.641143798828
01/01/2014 00:11:35,216.067321777344,159.491653442383
01/01/2014 00:11:36,215.917572021484,159.30549621582
01/01/2014 00:11:37,215.798583984375,159.084350585938
01/01/2014 00:11:38,215.632659912109,158.91438293457
01/01/2014 00:11:39,215.415573120117,158.735916137695
01/01/2014 00:11:40,215.240661621094,158.52946472168
01/01/2014 00:11:41,215.121337890625,158.368423461914
01/01/2014 00:11:42,214.965438842773,158.191223144531
01/01/2014 00:11:43,214.82160949707,157.982162475586
01/01/2014 00:11:44,214.637802124023,157.818450927734
01/01/2014 00:11:45,214.48112487793,157.640151977539
01/01/2014 00:11:46,214.36311340332,157.496139526367
01/01/2014 00:11:47,214.265686035156,157.386260986328
01/01/2014 00:11:48,214.104400634766,157.290313720703
01/01/2014 00:11:49,213.947189331055,157.191787719727
01/01/2014 00:11:50,213.884338378906,157.020568847656
01/01/2014 00:11:51,213.702667236328,156.85563659668
01/01/2014 00:11:52,213.514511108398,156.660797119141
01/01/2014 00:11:53,213.434661865234,156.503723144531
01/01/2014 00:11:54,213.381454467773,156.325042724609
01/01/2014 00:11:55,213.305694580078,156.177993774414
01/01/2014 00:11:56,213.200485229492,156.000900268555
01/01/2014 00:11:57,213.015487670898,155.786178588867
01/01/2014 00:11:58,212.906875610352,155.617782592773
01/01/2014 00:11:59,212.828765869141,155.437942504883
01/01/2014 00:12:00,212.744369506836,155.294616699219
01/01/2014 00:12:01,212.577423095703,155.121032714844
01/01/2014 00:12:02,212.475067138672,154.907669067383
01/01/2014 00:12:03,212.39469909668,154.674072265625
01/01/2014 00:12:04,212.241012573242,154.505065917969
01/01/2014 00:12:05,212.0830078125,154.332489013672
01/01/2014 00:12:06,212.016403198242,154.130477905273
01/01/2014 00:12:07,211.961715698242,153.970657348633
01/01/2014 00:12:08,211.879287719727,153.79264831543
01/01/2014 00:12:09,211.769226074219,153.64729309082
01/01/2014 00:12:10,211.647857666016,153.471298217773
01/01/2014 00:12:11,211.59342956543,153.321670532227
01/01/2014 00:12:12,211.468826293945,153.076477050781
01/01/2014 00:12:13,211.388900756836,152.936676025391
01/01/2014 00:12:14,211.179840087891,152.792831420898
01/01/2014 00:12:15,211.041091918945,152.667266845703
01/01/2014 00:12:16,210.948135375977,152.623275756836
01/01/2014 00:12:17,210.863922119141,152.573806762695
01/01/2014 00:12:18,210.638336181641,152.486389160156
01/01/2014 00:12:19,210.358047485352,152.370101928711
01/01/2014 00:12:20,210.090881347656,152.310531616211
01/01/2014 00:12:21,209.727157592773,152.114761352539
01/01/2014 00:12:22,209.408584594727,151.978561401367
01/01/2014 00:12:23,209.16667175293,151.8173828125
01/01/2014 00:12:24,208.969131469727,151.676132202148
01/01/2014 00:12:25,208.711685180664,151.626373291016
01/01/2014 00:12:26,208.451736450195,151.578598022461
01/01/2014 00:12:27,208.214324951172,151.559829711914
01/01/2014 00:12:28,208.061294555664,151.564025878906
01/01/2014 00:12:29,207.903396606445,151.575164794922
01/01/2014 00:12:30,207.70686340332,151.517715454102
01/01/2014 00:12:31,207.480651855469,151.466003417969
01/01/2014 00:12:32,207.24592590332,151.447143554688
