Date,X,Y
01/01/2014 00:00:01,116.269996643066,122.76000213623
01/01/2014 00:00:02,116.191429138184,122.60285949707
01/01/2014 00:00:03,116.145332336426,122.359107971191
01/01/2014 00:00:04,116.067375183105,122.176597595215
01/01/2014 00:00:05,115.958908081055,121.991561889648
01/01/2014 00:00:06,116.036727905273,121.983139038086
01/01/2014 00:00:07,116.206993103027,121.98380279541
01/01/2014 00:00:08,116.313789367676,121.922653198242
01/01/2014 00:00:09,116.331657409668,121.937385559082
01/01/2014 00:00:10,116.107879638672,122.039375305176
01/01/2014 00:00:11,115.852188110352,122.116966247559
01/01/2014 00:00:12,115.604461669922,122.00902557373
01/01/2014 00:00:13,115.376350402832,121.823776245117
01/01/2014 00:00:14,115.161079406738,121.651191711426
01/01/2014 00:00:15,114.948280334473,121.520706176758
01/01/2014 00:00:16,114.732246398926,121.419578552246
01/01/2014 00:00:17,114.512550354004,121.325263977051
01/01/2014 00:00:18,114.291168212891,121.224487304688
01/01/2014 00:00:19,114.134788513184,121.180503845215
01/01/2014 00:00:20,113.902679443359,121.055999755859
01/01/2014 00:00:21,113.646644592285,120.907028198242
01/01/2014 00:00:22,113.466918945313,120.835868835449
01/01/2014 00:00:23,113.489364624023,120.903472900391
01/01/2014 00:00:24,113.581512451172,120.988136291504
01/01/2014 00:00:25,113.712783813477,121.029861450195
01/01/2014 00:00:26,113.717819213867,121.029373168945
01/01/2014 00:00:27,113.668090820313,121.011848449707
01/01/2014 00:00:28,113.625228881836,120.997673034668
01/01/2014 00:00:29,113.610458374023,120.993225097656
01/01/2014 00:00:30,113.615921020508,120.995399475098
01/01/2014 00:00:31,113.62646484375,120.999000549316
01/01/2014 00:00:32,113.632873535156,121.001068115234
01/01/2014 00:00:33,113.633811950684,121.001289367676
01/01/2014 00:00:34,113.631942749023,121.000617980957
01/01/2014 00:00:35,113.630035400391,120.999977111816
01/01/2014 00:00:36,113.62922668457,120.999732971191
01/01/2014 00:00:37,113.629356384277,120.999786376953
01/01/2014 00:00:38,113.629783630371,120.999938964844
01/01/2014 00:00:39,113.630088806152,121.000038146973
01/01/2014 00:00:40,113.630157470703,121.000053405762
01/01/2014 00:00:41,113.630096435547,121.000030517578
01/01/2014 00:00:42,113.630012512207,121
01/01/2014 00:00:43,113.629974365234,120.999992370605
01/01/2014 00:00:44,113.629974365234,120.999992370605
01/01/2014 00:00:45,113.629989624023,121
01/01/2014 00:00:46,113.630004882813,121
01/01/2014 00:00:47,113.630004882813,121
01/01/2014 00:00:48,113.630004882813,121
01/01/2014 00:00:49,113.629997253418,121
01/01/2014 00:00:50,113.629997253418,121
01/01/2014 00:00:51,113.565124511719,121
01/01/2014 00:00:52,113.44702911377,120.935127258301
01/01/2014 00:00:53,113.246994018555,120.817024230957
01/01/2014 00:00:54,113.131317138672,120.746742248535
01/01/2014 00:00:55,113.118469238281,120.737518310547
01/01/2014 00:00:56,113.155387878418,120.7587890625
01/01/2014 00:00:57,113.190940856934,120.84489440918
01/01/2014 00:00:58,113.204971313477,120.841949462891
01/01/2014 00:00:59,113.137023925781,120.804206848145
01/01/2014 00:01:00,113.010643005371,120.709571838379
01/01/2014 00:01:01,112.805084228516,120.647415161133
01/01/2014 00:01:02,112.558517456055,120.570358276367
01/01/2014 00:01:03,112.310806274414,120.532638549805
01/01/2014 00:01:04,112.078956604004,120.46842956543
01/01/2014 00:01:05,111.860610961914,120.366348266602
01/01/2014 00:01:06,111.581954956055,120.308929443359
01/01/2014 00:01:07,111.248275756836,120.238822937012
01/01/2014 00:01:08,110.894195556641,120.139991760254
01/01/2014 00:01:09,110.545944213867,120.02278137207
01/01/2014 00:01:10,110.210845947266,119.902282714844
01/01/2014 00:01:11,109.884155273438,119.786628723145
01/01/2014 00:01:12,109.558959960938,119.676300048828
01/01/2014 00:01:13,109.16667175293,119.568344116211
01/01/2014 00:01:14,108.718719482422,119.460159301758
01/01/2014 00:01:15,108.317497253418,119.350807189941
01/01/2014 00:01:16,107.977447509766,119.305473327637
01/01/2014 00:01:17,107.603546142578,119.248260498047
01/01/2014 00:01:18,107.241653442383,119.155044555664
01/01/2014 00:01:19,106.968360900879,119.102035522461
01/01/2014 00:01:20,106.697982788086,119.03190612793
01/01/2014 00:01:21,106.458503723145,118.996116638184
01/01/2014 00:01:22,106.178314208984,118.99552154541
01/01/2014 00:01:23,105.85205078125,119.009712219238
01/01/2014 00:01:24,105.504684448242,119.021598815918
01/01/2014 00:01:25,105.158897399902,119.025535583496
01/01/2014 00:01:26,104.82307434082,119.023887634277
01/01/2014 00:01:27,104.559638977051,119.020919799805
01/01/2014 00:01:28,104.286651611328,118.954284667969
01/01/2014 00:01:29,104.040992736816,118.900833129883
01/01/2014 00:01:30,103.821670532227,118.884307861328
01/01/2014 00:01:31,103.612762451172,118.892684936523
01/01/2014 00:01:32,103.206962585449,118.90633392334
01/01/2014 00:01:33,102.765090942383,118.978965759277
01/01/2014 00:01:34,102.439270019531,119.097839355469
01/01/2014 00:01:35,102.158599853516,119.230445861816
01/01/2014 00:01:36,101.80248260498,119.355354309082
01/01/2014 00:01:37,101.49568939209,119.468315124512
01/01/2014 00:01:38,101.260314941406,119.57462310791
01/01/2014 00:01:39,101.193061828613,119.680381774902
01/01/2014 00:01:40,101.169563293457,119.788414001465
01/01/2014 00:01:41,101.242744445801,119.833671569824
01/01/2014 00:01:42,101.377304077148,119.761604309082
01/01/2014 00:01:43,101.39281463623,119.619041442871
01/01/2014 00:01:44,101.285461425781,119.466758728027
